Date,MaxT,MaxT_Normal,MaxT_Dep,MinT,MinT_Normal,MinT_Dep,AvgT,AvgT_Normal,AvgT_Dep,AtObsT,Precip,Precip_Normal,Precip_Dep,Snow,Snow_Normal,Snow_Dep,SnowDepth,HDD,HDD_Normal,HDD_Dep,CDD,CDD_Normal,CDD_Dep,GDD50
2009-08-21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-08-22,M,M,M,M,M,M,M,M,M,71,0.16,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-08-23,M,M,M,M,M,M,M,M,M,M,0.22,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-08-24,M,M,M,M,M,M,M,M,M,M,0.71,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-08-25,M,M,M,M,M,M,M,M,M,62,0.30,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-08-26,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-08-27,M,M,M,M,M,M,M,M,M,50,0.10,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-08-28,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-08-29,M,M,M,M,M,M,M,M,M,60,1.41,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-08-30,M,M,M,M,M,M,M,M,M,61,0.54,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-08-31,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-09-01,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-09-02,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-09-03,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-09-04,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
